54,4.9
69,4.6
70,5.3
71,8.1
76,5.3
77,6.3
87,2.8
106,8.8
107,3.5
108,4.3
109,3.7
118,5.8
122,5.1
123,3.9
124,6.5
125,5.3
126,6.9
128,6.6
130,4.9
131,5.7
132,8.2
133,3.9
134,6.4
137,6
140,6.4
142,6.3
146,4.1
147,5.2
149,7.1
150,9.3
153,6.3
154,3.1
155,4.8
158,6.7
160,6.2
162,7.4
165,6.6
166,4.5
167,4.3
169,5.4
170,8.7
172,6.1
174,5.1
175,6.6
176,4.8
177,3.6
178,6.6
179,6.5
180,6.1
181,3.9
184,4.5
185,7.1
189,5.3
191,3.9
192,6.2
193,5.6
194,4.9
195,5.5
196,5.7
198,6.8
199,6.2
200,5.4
201,2.4
202,6.8
203,5.6
204,5.5
205,4.7
207,6.2
208,7
210,5.3
211,3.4
213,3.3
214,4.1
217,4.7
218,6.3
219,5.6
223,5
225,7.6
226,5.5
230,7.8
233,6.6
234,5.3
235,5.2
238,4.9
239,4.9
240,4.1
242,4.7
243,5.4
245,4.9
246,4
251,7.1
252,4.6
253,6.2
254,5.4
256,6.2
259,4.8
260,4.2
262,4.8
263,3.4
267,5.8
268,2.8
269,3.3
270,5.7
271,5.5
272,6.4
274,3.2
275,4.5
277,5.5
279,6.6
280,5.5
281,4.6
283,7.2
284,6.2
285,4.7
286,6.3
287,5.3
288,5.8
289,5.7
290,5.8
291,4.5
294,4.7
295,4.4
296,4.1
297,5.6
298,4.9
299,6.7
300,5.4
302,5.4
303,4
304,6.1
305,5.3
306,3.2
307,5.8
308,5.5
310,5.1
311,6.7
313,3.9
314,2.6
315,7.3
317,3.8
319,5.8
324,6.1
325,6.3
326,6.2
327,4.9
329,5.2
330,5.6
331,5.1
333,3.4
334,4
338,4.4
342,5.5
344,6
346,4.9
350,6.6
351,6.1
355,3.7
359,4
361,3.2
364,4
365,4.3
366,6.5
368,3.9
370,4.4
371,4.1
375,5
376,7.1
377,7.3
379,4.6
380,5.4
381,5.3
382,4.4
383,3.6
384,4.9
385,6.3
386,4.6
388,7.1
389,6.8
391,7.5
392,2.7
394,5.1
395,4.1
397,3.4
398,3.9
399,3.4
400,5.2
401,5.7
402,6.1
403,5
404,6.1
405,4.6
406,5.3
407,5.9
408,4.3
410,5.6
411,7
412,3.9
413,3.5
414,4
417,3.1
423,4.4
425,5.7
429,5.7
430,6.7
431,6.1
432,4.7
438,6.4
441,6.2
442,6
443,3.6
444,5.6
448,6.4
452,4.2
453,6.3
454,4.2
455,4.7
456,5.6
457,4.9
460,3.8
461,5.5
465,6.3
467,5.6
469,4.3
470,4.5
471,5.2
473,4.6
482,6.7
483,6.2
484,5.4
485,6
486,6.5
488,7.3
489,5.9
490,6.3
492,4.5
493,7.5
494,5.5
495,4.3
497,5.2
498,5.3
499,5.2
500,5.5
501,5.3
503,4.9
505,6.3
506,7.4
507,2.9
510,6.6
513,3.5
519,6.4
521,7.4
524,4.8
525,5.3
527,3
528,3.1
530,3.1
534,5.5
535,6.5
540,6.6
541,6.6
542,6.7
543,6.2
547,5.3
548,6.3
549,4.8
551,6.8
554,5.4
555,7.2
557,6.1
558,4.7
561,5.3
562,5.3
563,5.7
570,4
571,5.5
572,5.7
573,7.4
574,6.5
575,3.2
576,5.7
577,6.8
579,6.1
581,6.4
584,5.5
585,4.4
586,5.6
588,6.3
591,5.1
595,6.8
596,5.3
598,4
600,5.6
602,3.2
603,5.8
606,5.7
608,4.3
610,5
612,6.9
615,4.7
616,2.4
617,5.2
620,6.6
621,6.9
622,5.4
623,4.9
624,4.7
637,7.3
639,5.9
644,6.7
645,3.5
646,5.1
647,6.3
648,5.5
649,6.7
650,7.1
654,5.9
655,4.4
656,4.4
657,5.8
660,4.8
662,6.3
667,5.9
668,4.9
669,5.8
670,6.2
671,5
673,5.7
680,5.6
681,5.3
684,7.7
690,3
695,5.2
697,5.4
700,5.7
704,6.2
706,6.9
710,5.4
712,7.4
713,4.7
715,5.3
716,4.2
717,4.3
718,5.7
724,5.6
726,5.7
727,4.2
728,5.2
729,1.8
730,7.5
734,4.5
736,5.4
738,7.3
739,6.2
743,4.9
746,5.3
748,5
749,5.7
755,6.6
756,5.2
757,6.2
758,5
759,7.1
760,4.2
763,4.3
764,5.1
765,5
767,6
771,6.8
772,5.3
773,6.2
774,6.5
776,5.3
780,5.4
781,5.2
782,4.8
783,5.5
785,6.2
786,4.8
787,6.3
788,3
789,7
790,5.4
792,6.2
793,5.9
794,6.7
795,5.5
797,4.1
798,5
801,5.8
803,4.3
805,6
806,4.5
815,6.4
820,5.6
821,5.4
822,6.5
823,5.6
826,5.2
829,3.5
831,5.7
833,5.1
834,4.2
835,6.3
837,5.3
838,5.5
840,6.4
841,6.7
843,7.2
844,6.7
845,8
846,6.7
847,5
848,6.8
851,5.5
852,5
858,8
859,6.1
861,6.4
862,7.4
865,5.8
866,5
868,6.3
869,3.2
872,5.6
873,5
875,7.1
876,4
877,2.4
881,4.4
882,7.4
883,3.3
884,3.6
886,4.5
887,2.7
888,6.1
889,3.7
890,2.6
893,4.8
896,6.1
897,6.1
899,5.3
900,6.9
902,5.5
903,5.2
904,5.9
912,5
916,5.2
917,5.1
918,5.7
919,4.6
920,4.5
921,2.9
922,4.6
923,5.8
924,5.3
925,5.1
926,6.6
927,5.5
929,5.2
931,3.9
932,4.6
933,5.4
938,4.8
939,5
941,4.4
943,2.2
944,5
945,5.1
946,7.8
947,4.9
